name	first_year	episode_name	season	episode_number	star_1	star_2	star_3	star_4	star_5	star_6	star_7	star_8	star_9	star_10
Alpha 0_7 _ Der Feind in dir 2010	2010	Der freie Wille	1	6	0	1	0	0	1	1	1	0	1	3
Alpha 0_7 _ Der Feind in dir 2010	2010	Paranoia	1	3	0	0	0	0	0	2	2	0	0	4
Alpha 0_7 _ Der Feind in dir 2010	2010	Prenzinger	1	1	0	0	0	1	0	0	3	0	0	5
Alpha 0_7 _ Der Feind in dir 2010	2010	Reset	1	5	0	0	1	0	1	1	1	0	1	3
Alpha 0_7 _ Der Feind in dir 2010	2010	Schizophren	1	2	0	0	0	2	0	0	3	0	0	4
Amagami SS 2010	2010	Akogare	1	1	0	1	0	0	1	1	0	1	0	0
America_ The Story of Us 2010	2010	Boom	1	8	0	0	2	2	2	2	5	2	0	0
America_ The Story of Us 2010	2010	Bust	1	9	0	0	0	2	0	2	5	2	0	0
America_ The Story of Us 2010	2010	Cities	1	7	1	1	0	1	5	0	3	5	3	1
America_ The Story of Us 2010	2010	Civil War	1	5	0	0	0	2	0	2	4	4	2	0
America_ The Story of Us 2010	2010	Division	1	4	0	0	0	2	3	2	5	2	0	0
America_ The Story of Us 2010	2010	Heartland	1	6	1	1	0	3	3	1	5	3	1	1
America_ The Story of Us 2010	2010	Millennium	1	12	0	0	0	3	0	0	3	0	0	0
America_ The Story of Us 2010	2010	Rebels	1	1	1	1	0	1	1	8	3	3	1	0
America_ The Story of Us 2010	2010	Revolution	1	2	1	1	0	1	1	3	6	6	1	1
America_ The Story of Us 2010	2010	Superpower	1	11	0	0	0	2	0	3	2	3	0	0
America_ The Story of Us 2010	2010	WWII	1	10	0	0	0	2	0	5	3	0	0	0
America_ The Story of Us 2010	2010	Westward	1	3	1	1	1	3	3	3	3	3	3	0
American Pickers 2010	2010	5 Acres of Junk	1	8	0	0	2	0	0	5	3	2	2	2
American Pickers 2010	2010	8th Grade Humor	3	12	1	0	0	0	1	0	1	1	0	0
American Pickers 2010	2010	A Banner Pick	2	14	1	0	0	0	0	1	2	1	1	1
